genre,total_count,year,danceability,energy,instrumentalness,speechiness,tempo,valence
focus,45,1993,0.295197777777778,0.104311111111111,0.851044444444444,0.0442711111111111,93.7628444444444,0.187524444444444
focus,39,1994,0.276310256410256,0.0814628205128205,0.817077194871795,0.0449025641025641,93.0111794871795,0.137166666666667
focus,55,1995,0.280449090909091,0.155147272727273,0.855272727272728,0.04138,99.0554363636364,0.0960072727272727
focus,137,1996,0.339510218978102,0.115405824817518,0.719926083211679,0.0678474452554745,100.678226277372,0.121510948905109
focus,84,1997,0.347202380952381,0.174086142857143,0.888171428571428,0.0421238095238095,100.227964285714,0.198975
focus,101,1998,0.315414851485149,0.111528712871287,0.878405940594059,0.0411009900990099,102.005138613861,0.166107920792079
focus,114,1999,0.359940350877193,0.101174535087719,0.885044394736842,0.0457947368421052,104.600263157895,0.205775438596491
focus,105,2000,0.336529523809524,0.131877619047619,0.88852380952381,0.0489380952380952,100.503752380952,0.167101904761905
focus,199,2001,0.345584924623116,0.154418793969849,0.867356783919598,0.0436748743718593,104.745788944724,0.154523618090452
focus,153,2002,0.332037908496732,0.133672418300654,0.847194248366013,0.0435366013071896,102.781986928105,0.157349019607843
focus,178,2003,0.301227528089888,0.117043831460674,0.861465741573034,0.0476157303370786,109.13554494382,0.165698314606742
focus,240,2004,0.332577916666667,0.1532343,0.875740383333333,0.0507904166666666,109.391345833333,0.139491666666667
focus,212,2005,0.280367452830189,0.163438863207547,0.855758028301886,0.0433367924528302,101.595919811321,0.136451886792453
focus,284,2006,0.331509154929577,0.182092809859155,0.870964788732394,0.0486419014084507,107.256161971831,0.157755985915493
focus,405,2007,0.290285432098766,0.154107120987654,0.839168447654321,0.0452237037037036,104.05597037037,0.121313580246914
focus,279,2008,0.340898924731183,0.179910917562724,0.838531182795699,0.045021146953405,107.780949820789,0.146658064516129
focus,522,2009,0.289877777777778,0.146413040421456,0.854333716475095,0.0457354406130268,102.275796934866,0.137527030651341
focus,670,2010,0.289706865671642,0.197327725373134,0.82135663958209,0.0462334328358209,106.317186567164,0.12508328358209
focus,710,2011,0.30446338028169,0.146204138028169,0.827998082112677,0.0492987323943661,105.982583098592,0.136447323943662
focus,693,2012,0.314530591630592,0.181735961038961,0.855457842510823,0.0467047619047619,109.307168831169,0.151719336219336
focus,920,2013,0.296717934782609,0.180614751086957,0.854740314347825,0.0453830434782609,103.641711956522,0.115519239130435
focus,2226,2014,0.307161365678352,0.160716921114108,0.877211212623526,0.0492382749326138,114.995256513926,0.131993530997306
